timestamp,STT,datetime_raw,Nhiệt độ(oC},NOx(µg/Nm3},SO2(µg/Nm3},O3(µg/Nm3},PM-10(µg/Nm3},PM-2-5(µg/Nm3},NO(µg/Nm3},NO2(µg/Nm3},CO(mg/Nm3},RH(%},Hướng gió(Degree},Tốc độ gió(m/s},vn_aqi,pm10_obs,pm25_obs,station_id
2025-12-25 00:00:00,8253,00:00 25/12/2025,20.5817,2.6142,0,29.075,31.5825,16.8583,5.0442,-2.4283,0,83.2625,113.325,1.8317,58,45,58,nguyen_van_cu
2025-12-25 01:00:00,8254,01:00 25/12/2025,20.4167,3.5858,0,33.1417,24.8133,12.975,5.0142,-1.425,0,81.7467,146.395,1.635,42,35,42,nguyen_van_cu
2025-12-25 02:00:00,8255,02:00 25/12/2025,19.8833,3.5517,0,33.5,27.6,11.1333,5.2583,-1.7092,0,81.8508,130.9125,1.8708,32,31,32,nguyen_van_cu
2025-12-25 03:00:00,8256,03:00 25/12/2025,19.45,3.21,0,34.3325,23.1275,14.2692,5.015,-1.8008,0,79.8367,150.5242,1.4033,30,27,30,nguyen_van_cu
2025-12-25 04:00:00,8257,04:00 25/12/2025,19.3042,3.7225,0,36.6183,19.4542,10.4392,5.2908,-1.5667,0,79.1025,124.5783,1.9317,26,23,26,nguyen_van_cu
2025-12-25 05:00:00,8258,05:00 25/12/2025,19.15,3.3308,0,51.5475,13.7483,8.1342,5.29,-1.9592,0,72.97,160.8767,2.9425,21,19,21,nguyen_van_cu
2025-12-25 06:00:00,8259,06:00 25/12/2025,18.6325,3.5775,0,36.2608,15.9408,8.655,4.645,-1.0667,0,74.9592,120.7917,1.3117,19,17,19,nguyen_van_cu
2025-12-25 07:00:00,8260,07:00 25/12/2025,18.5975,3.3625,0,27.7175,16.9383,9.325,5.1667,-1.8008,0,72.3508,106.9033,1.125,19,17,19,nguyen_van_cu
2025-12-25 08:00:00,8261,08:00 25/12/2025,18.8142,3.4692,0,35.525,19.6133,10.6267,5.3825,-1.9108,0,64.1583,147.565,2.1575,20,18,20,nguyen_van_cu
2025-12-25 09:00:00,8262,09:00 25/12/2025,18.99,3.6458,0,33.8583,24.6425,12.0,5.1392,-1.4867,0,61.0942,144.17,2.0142,22,21,22,nguyen_van_cu
2025-12-25 10:00:00,8263,10:00 25/12/2025,19.1717,2.7808,0,43.5767,32.0658,15.995,3.6917,-0.9083,0,56.9575,155.015,3.0533,27,27,27,nguyen_van_cu
2025-12-25 11:00:00,8264,11:00 25/12/2025,19.8733,3.1467,0,54.4733,39.6517,26.7133,4.2442,-1.0975,0,53.7533,218.7217,3.1858,40,33,40,nguyen_van_cu
2025-12-25 12:00:00,8265,12:00 25/12/2025,20.7833,2.7542,0,65.5283,42.1042,30.8142,5.1983,-2.4458,0,50.9567,186.345,1.0817,51,38,51,nguyen_van_cu
2025-12-25 13:00:00,8266,13:00 25/12/2025,21.02,3.5975,0,94.6183,36.4717,31.825,5.2575,-1.6617,0,50.8933,171.2008,2.3967,57,37,57,nguyen_van_cu
2025-12-25 14:00:00,8267,14:00 25/12/2025,21.1842,3.5158,0,85.145,30.5117,23.9283,5.4433,-1.9267,0,50.4367,205.0725,1.3767,53,34,53,nguyen_van_cu
2025-12-25 15:00:00,8268,15:00 25/12/2025,21.4817,3.5717,0,85.3892,25.5633,20.4958,5.0142,-1.4417,0,50.5367,124.0758,1.4025,47,30,47,nguyen_van_cu
2025-12-25 16:00:00,8269,16:00 25/12/2025,21.6625,3.7292,0,79.5908,28.37,19.4842,4.9208,-1.1917,0,50.4917,167.5817,1.89,43,29,43,nguyen_van_cu
2025-12-25 17:00:00,8270,17:00 25/12/2025,21.4742,3.395,0,60.2367,27.1333,19.0475,5.2308,-1.8325,0,51.7225,153.145,0.7517,40,28,40,nguyen_van_cu
2025-12-25 18:00:00,8271,18:00 25/12/2025,21.3492,2.7242,0,40.8167,30.9158,27.975,5.0467,-2.32,0,54.0375,183.44,0.3667,48,29,48,nguyen_van_cu
2025-12-25 19:00:00,8272,19:00 25/12/2025,21.145,2.5167,0,23.9592,46.6983,38.1567,4.4292,-1.9117,0,58.6842,196.5233,0.2917,62,38,62,nguyen_van_cu
2025-12-25 20:00:00,8273,20:00 25/12/2025,20.4367,3.3858,0,23.16,60.1375,46.8692,4.89,-1.5033,0,61.4333,198.3233,0.2267,78,49,78,nguyen_van_cu
2025-12-25 21:00:00,8274,21:00 25/12/2025,20.3258,3.4158,0,23.9442,66.375,47.8617,4.9842,-1.5667,0,59.7233,91.8333,0.2617,87,54,87,nguyen_van_cu
2025-12-25 22:00:00,8275,22:00 25/12/2025,19.8117,3.2792,0,29.9867,60.175,44.5042,4.7058,-1.4258,0,59.4867,138.5408,0.1692,88,54,88,nguyen_van_cu
2025-12-25 23:00:00,8276,23:00 25/12/2025,19.6325,3.52,0,37.305,55.8308,39.0658,4.3367,-0.8142,0,61.8133,143.5892,0.2025,83,54,83,nguyen_van_cu
2025-12-26 00:00:00,8277,00:00 26/12/2025,19.3592,3.5817,0,52.3167,53.3742,38.53,5.1975,-1.6133,0,61.1458,173.3675,0.1725,80,53,80,nguyen_van_cu
